col1,col2,modifier_indicator
00103,80170,0
00103,80172,0
00103,80174,0
00103,80176,0
00103,80178,0
00103,80182,0
00103,80184,0
00103,80185,0
00103,80186,0
00103,80188,0
00103,80190,0
00103,80192,0
00103,80194,0
00103,80196,0
00103,80198,0
00103,80200,0
00103,80202,0
00103,81000,1
00103,81002,1
00103,81003,1
00103,81005,1
00103,81007,0
00103,81015,1
00103,81025,0
00103,81050,0
00103,82000,0
00103,82003,0
00103,82009,0
00103,82010,0
00103,82013,1
00103,82024,0
00103,82030,0
00103,82040,0
00103,82042,0
00103,82043,0
00103,82044,0
00103,82055,0
00103,82075,0
00103,82085,0
00103,82088,0
00103,82101,0
00103,82103,0
00103,82104,0
00103,82105,0
00103,82106,0
00103,82108,0
00103,82128,0
00103,82130,1
00103,82131,0
00103,82135,0
00103,82140,0
00103,82143,0
00103,82145,0
00103,82150,0
00103,82154,0
00103,82157,0
00103,82160,0
00103,82163,0
00103,82164,0
00103,82172,0
00103,82175,0
00103,82180,0
00103,82190,0
00103,82205,1
00103,82232,0
00103,82239,0
00103,82240,0
00103,82250,1
00103,82251,0
00103,82252,0
00103,82270,1
00103,82273,1
00103,90760,0
00103,90765,0
00103,90772,0
00103,90773,0
00103,90774,0
00103,90775,0
00103,90780,1
00103,90781,1
00103,90782,0
00103,90783,0
00103,90784,0
00103,90788,0
00103,90835,1
00103,90865,1
00103,91000,1
00103,91055,1
00103,91105,1
00103,92511,1
00103,92512,1
00103,92516,1
00103,92520,1
00103,92531,0
00103,92533,0
00103,92537,1
00103,92538,1
00103,92543,1
00103,92950,1
00103,92953,1
00103,92960,1
00103,92961,1
00103,93000,1
00103,93005,1
00103,93010,1
00103,93015,1
00103,93016,1
00103,93017,1
00103,93018,1
00103,93040,1
00103,93041,1
00103,93042,1
00103,93050,0
00103,93303,0
00103,93304,0
00103,93306,1
00103,93307,1
00103,93308,1
00103,93312,1
00103,93313,1
00103,93314,1
00103,93315,1
00103,93316,1
00103,93317,1
00103,93318,0
00103,93320,1
00103,93321,1
00103,93325,1
00103,93351,1
00103,93355,0
00103,93451,1
00103,93456,1
00103,93457,1
00103,93501,1
00103,93561,0
00103,93562,0
00103,93598,0
00103,93701,0
00103,93922,1
00103,93923,1
00103,93924,1
00103,93925,1
00103,93926,1
00103,93930,1
00103,93931,1
00103,93965,1
00103,93970,1
00103,93971,1
00103,93975,1
00103,93976,1
00103,93978,1
00103,93979,1
00103,93980,1
00103,93981,1
00103,93985,1
00103,93986,1
00103,94002,1
00103,94004,1
00103,94160,1
00103,94200,1
00103,94250,0
00103,94640,1
00103,94644,1
00103,94650,1
00103,94651,1
00103,94656,1
00103,94660,1
00103,94662,1
00103,94680,1
00103,94681,1
00103,94690,1
00103,94760,0
00103,94761,0
00103,94762,1
00103,94770,1
00103,95700,0
00103,95705,0
00103,95706,0
00103,95707,0
00103,95708,0
00103,95709,0
00103,95710,0
00103,95711,0
00103,95712,0
00103,95713,0
00103,95714,0
00103,95715,0
00103,95716,0
00103,95717,0
00103,95718,0
00103,95719,0
00103,95720,0
00103,95721,0
00103,95722,0
00103,95723,0
00103,95724,0
00103,95725,0
00103,95726,0
00103,95812,0
00103,95813,0
00103,95816,0
00103,95819,0
00103,95822,0
00103,95829,0
00103,95955,0
00103,95956,0
00103,95957,0
00103,96360,0
00103,96365,0
00103,96372,0
00103,96373,0
00103,96374,0
00103,96375,0
00103,96376,0
00103,96377,0
00103,96523,0
00103,99143,0
00103,99144,0
00103,99145,0
00103,99148,0
00103,99149,0
00103,99150,0
00103,99151,0
00103,99152,0
00103,99153,0
00103,99155,0
00103,99156,0
00103,99157,0
00103,99201,0
00103,99201,0
00103,99202,0
00103,99202,0
00103,99203,0
00103,99203,0
00103,99204,0
00103,99204,0
00103,99205,0
00103,99205,0
00103,99211,0
00103,99211,0
00103,99212,0
00103,99212,0
00103,99213,0
00103,99213,0
00103,99214,0
00103,99214,0
00103,99215,0
00103,99215,0
00103,99217,0
00103,99217,0
00103,99218,0
00103,99218,0
00103,99219,0
00103,99219,0
00103,99220,0
00103,99220,0
00103,99221,0
00103,99221,0
00103,99222,0
00103,99222,0
00103,99223,0
00103,99223,0
00103,99224,0
00103,99224,0
00103,99225,0
00103,99225,0
00103,99226,0
00103,99226,0
00103,99231,0
00103,99231,0
00103,99232,0
00103,99232,0
00103,99233,0
00103,99233,0
00103,99234,0
00103,99234,0
00103,99235,0
00103,99235,0
00103,99236,0
00103,99236,0
00103,99238,0
00103,99238,0
00103,99239,0
00103,99239,0
00103,99241,0
00103,99242,0
00103,99243,0
00103,99244,0
00103,99245,0
00103,99251,0
00103,99252,0
00103,99253,0
00103,99254,0
00103,99255,0
00103,99261,0
00103,99262,0
00103,99263,0
00103,99271,0
00103,99272,0
00103,99273,0
00103,99274,0
00103,99275,0
00103,99281,0
00103,99281,0
00103,99282,0
00103,99282,0
00103,99283,0
00103,99283,0
00103,99284,0
00103,99284,0
00103,99285,0
00103,99285,0
00103,99288,0
00103,99293,0
00103,99294,0
00103,99295,0
00103,99296,0
00103,99297,0
00103,99298,0
00103,99299,0
00103,99300,0
00103,99301,0
00103,99302,0
00103,99303,0
00103,99304,0
00103,99304,0
00103,99305,0
00103,99305,0
00103,99306,0
00103,99306,0
00103,99307,0
00103,99307,0
00103,99308,0
00103,99308,0
00103,99309,0
00103,99309,0
00103,99310,0
00103,99310,0
00103,99311,0
00103,99312,0
00103,99313,0
00103,99315,0
00103,99315,0
00103,99318,0
00103,99321,0
00103,99322,0
00103,99323,0
00103,99324,0
00103,99325,0
00103,99326,0
00103,99327,0
00103,99327,0
00103,99328,0
